name,id
Blake Hanson,237390839644284
Blaze The Trail Cat,124965974370749
Bob Barnard FOX 5 DC,582967798398770
Bob Breck WVUE,765609236836516
Bob DeCastro,594063337398733
Bob Kelly FOX 29,97838745861
Bob Kendrick,390473304300265
Bob Nunnally,101689536540154
Bob Redell,115656228523079
Bob Schieffer,52270875867
Bob Segall,139552956125960
Bobbie Thomas,73099721759
Bobby Jindal,51275855094
Bonnie Bernstein,170302823055385
Bonnie Schneider,127899230573142
Boris Johnson,7972991316
Brad Bell,199749930047098
Brad Edwards,903238476411743
Brad Nitz,1452217798387656
Brad Travis WAFF 48 Meteorologist,116604938372683
Brandon Hamilton - TV,155817384518156
Brandon Herring,484938208227407
Brenda Braxton,136034019806746
Brenda Wood 11Alive,118782991548844
Brené Brown,188471851167932
Brent Bozell,34521916336
Brent Solomon NBC12,71685984449
Brett Anthony,142553545806749
Bri Winkler,265457440329060
Brian Basham FOX 46,410972308984285
Brian Brennan KGW,357517561120986
Brian Curtis NBC5,104632092933488
Brian Kilmeade,71659602710
Brian MacMillan,169857523068679
Brian Mininger,734352336644913
"Brian Shields, WFTV",191672097518867
Brian Shrader WRAL,181967288525785
Brian Thompson NBC NY,126255304147372
Brian van de Graaff,168750610245661
Brianna Keilar,756529604385447
Bridget Shanahan,1590026077898435
Brien Blakely Fox 46,200773859970297
Brien McElhatten - ABC21,441526852552175
Brittany Begley,174223565978870
Brittany Bell 16 WAPT,311742982300622
Brittany Pelletz,118871844888719
Brittney Johnson,174983642519264
Brittney Payton,116600985028013
Brody O'Connell WBTV,168302593364087
Brooke Baldwin,142710795775336
"Brooks Garner, Meteorologist KHOU 11",106620042763719
Brooks Jarosz,245488977431
Bruce Beck,432324130150700
Bruce Katz on WVUE,273089979480314
Bruce Sussman,128320271100
Bryan Norcross,141768219194535
Bryant Somerville,793409494080336
Byron Brown WJTV,100323576698793
Byron Morton KOAT,298799200138461
C.S. Keys Fan Page,262402477154496
Cabot Rea,112978528734984
Caitilin Espinosa,113321678726972
Caitlin Lockerbie Local 24,681889971859010
Caitlin Roth FOX 5 DC,262917623845681
Cameron Fontana,539314996150555
Candace Dold,283563845037987
Candace Evans,118863545470
Candice Smith NBC12,563029343798987
Captain Mark Kelly,163148530407080
Cardinal Cowboy,95030411854
Caribe Devine,322054301313333
Carl Parker,252883164567
Carlos Granda,412019565623434
Carly Flynn Morgan,348391191890728
Carol Costello,172143546163601
Carol Luper,173948106051461
Carol Sbarge,942330355824687
Carole Steinhauser,294297053923768
Caroline Fountain FOX 46,1391087671151983
Caroline Lowe TV,373295472765702
Carolyn Clifford,122290781204798
Carolyn Costello,456828254431739
Carolyn Tyler,184076541633430
Carrie Duncan WLOX Meteorologist,200174206698969
Carrie Lazarus,117278338434983
Cary Allen KCBD,391036984356185
Casey Curry,181113458624104
Cassidy Gard,114380248271
Cassidy Quinn,113069578707615
Cat Greenleaf,244260779021890
Cathy Marshall KGW,278148498970127
CBS 58 Andrew Brovelli,858173374221042
CBS 58 Chief Meteorologist Drew Burgoyne,922913467770513
CBS 58 Jessica Tighe,487250214645077
CBS 58 Marshanna Hester,543988069050166
CBS 58 Sarah Barwacz,260140454159564
CBS Zirinsky,139507922788885
Chad Oliver,248982415180897
Charity Bailey,318237048299794
Charlie Wojciechowski,267135496677884
Charlotte Huffman,206812646046517
Chef Amanda Freitag,91095669775
Chef Andrew Gruel,345163232329127
Cheryl Burton,228293747251736
Cheryl Casone,121224861279504
Cheryl McHenry,216680141741294
Cheryl Richardson,49736404315
Chief Meteorologist Eric Elwell,223377722758
Chief Meteorologist George Flickinger WSET,280905701937479
Chita Craft KHOU,253951957957191
Chris Allen,168976886528
Chris Cimino NBC,293363967362288
Chris Cuomo,1562251090694208
Chris Dunn Weather,301009129943105
Chris Egert,235413546862
Chris Gloninger NBC Boston,560507187347347
Chris Holcomb 11Alive,170763172991572
Chris Hopper,1671293679757655
Chris Hurst Wdbj,480873498602587
Chris Hush,171335616286411
