name,id,category,url,include?,Twitter page,stats,stats_type
Alexandra Wilson,445478968828842,News Personality,http://facebook.com/445478968828842,Y,https://twitter.com/TWCAlexWilson,,
Alexis Smith,255064231299627,News Personality,http://facebook.com/255064231299627,Y,https://twitter.com/AlexisABC7,,
Ali Fedotowsky,274147329851,Public Figure,http://facebook.com/274147329851,N,,,
Alice Gainer,339397112610,Journalist,http://facebook.com/339397112610,Y,https://twitter.com/GainerTV,,
Alicia Barnes,102570793596,News Personality,http://facebook.com/102570793596,Y,https://twitter.com/AliciaBarnesTV,,
Alicia Malone,1136302953048619,Public Figure,http://facebook.com/1136302953048619,Y,https://twitter.com/aliciamalone,,
Alicia Roman,199002843502359,News Personality,http://facebook.com/199002843502359,Y,https://twitter.com/AliciaRomanNBC,,
Alicia Smith,265192076283,News Personality,http://facebook.com/265192076283,Y,https://twitter.com/wxyzalicia,,
Alisha Ebrahimji,827729283950822,News Personality,http://facebook.com/827729283950822,Y,https://twitter.com/AlishaEbrahimji,,
Alison Grande,244106802444490,News Personality,http://facebook.com/244106802444490,Y,https://twitter.com/AlisonKIRO7,,
Alison Kent - Mica Stone,128632070585586,Author,http://facebook.com/128632070585586,Y,https://twitter.com/alisonkent,,
Alison Morris Fox CT,111775028886964,Public Figure,http://facebook.com/111775028886964,,,,
Alison Starling,209086245783788,News Personality,http://facebook.com/209086245783788,Y,https://twitter.com/AlisonStarling7,,
Alissa Henry,1431001740495557,News Personality,http://facebook.com/1431001740495557,Y,https://twitter.com/AlissaHenryTV,,
Alissa Reitmeier,384994478195646,Journalist,http://facebook.com/384994478195646,Y,https://twitter.com/AlissaReitmeier,,
Alissa Violet,1476279359358140,Public Figure,http://facebook.com/1476279359358140,N,,,
Allen West,22067606728,Public Figure,http://facebook.com/22067606728,Y,https://twitter.com/AllenWest,,
Allie Mac Kay,101592676559400,Public Figure,http://facebook.com/101592676559400,Y,https://twitter.com/alliemackay,,
Allison Latos,1941151582692956,News Personality,http://facebook.com/1941151582692956,Y,https://twitter.com/AllisonWSOC9,,
Allison Rodriguez,549615718446985,Journalist,http://facebook.com/549615718446985,Y,https://twitter.com/ARodriguezABC15,,
Allison Rosati,131732280211253,Journalist,http://facebook.com/131732280211253,Y,https://twitter.com/AllisonRosati,,
Alton Brown,271823759513906,Public Figure,http://facebook.com/271823759513906,N,,,
Alyse Eady,206108216079355,News Personality,http://facebook.com/206108216079355,Y,https://twitter.com/alyseeadyFOX5,,
Alysha Del Valle,1552589461641275,News Personality,http://facebook.com/1552589461641275,Y,https://twitter.com/abc7alysha,,
Alyssa Carson,571963976230324,Public Figure,http://facebook.com/571963976230324,Y,https://twitter.com/NASABlueberry,,
Alyssa Orange,257164827628244,Journalist,http://facebook.com/257164827628244,Y,https://twitter.com/AlyssaOrange,,
Amanda Cox FOX 46,209095482543224,News Personality,http://facebook.com/209095482543224,Y,https://twitter.com/fox46amanda,,
Amanda Guerra,155045381271743,News Personality,http://facebook.com/155045381271743,Y,https://twitter.com/AmandaGuerraTX,,
Amanda Venegas Abc30 Action News,375116919222325,News Personality,http://facebook.com/375116919222325,Y,https://twitter.com/Amanda_Venegas,,
Amber Jayanth,110815999046108,Journalist,http://facebook.com/110815999046108,Y,https://twitter.com/AmberJayFOX19,,
Amber Lee,554950514532513,News Personality,http://facebook.com/554950514532513,Y,https://twitter.com/AmberLeeNews,,
Amber O'Brien,224189080956888,Journalist,http://facebook.com/224189080956888,Y,https://twitter.com/AmberCOBrien,,
Amber Rupinta WTVD,116269145149935,News Personality,http://facebook.com/116269145149935,Y,https://twitter.com/RupintaABC11,,
Ambika Anand,19719875916,News Personality,http://facebook.com/19719875916,Y,www.twitter.com/anandambika,,
Amelia Rose Earhart,158131920879331,Public Figure,http://facebook.com/158131920879331,Y,https://twitter.com/Amelia__Earhart,,
Amit Photography,338192812971449,Photographer,http://facebook.com/338192812971449,N,,,
amy aiello photography,10720871199,Photographer,http://facebook.com/10720871199,Y,https://twitter.com/amyphotochicago,,
Amy Andrews FOX 2,160713977347438,News Personality,http://facebook.com/160713977347438,Y,https://twitter.com/AmyAndrewsFOX2,,
Amy Aubert ABC7 News,292011210912155,Journalist,http://facebook.com/292011210912155,Y,https://twitter.com/ABC7AmyAubert,,
Amy Clancy,112493458858673,Journalist,http://facebook.com/112493458858673,Y,https://twitter.com/ClancyKIRO7,,
