name	id	category  url
Ray Cortopassi	192204082087	Public Figure	http://facebook.com/192204082087
Carly Flynn Morgan	348391191890728	News Personality	http://facebook.com/348391191890728
Michelle Marsh	159614997494358	Journalist	http://facebook.com/159614997494358
KPRC Local 2 Courtney Zavala	124195177596226	Public Figure	http://facebook.com/124195177596226
KPRC2 Rachel McNeill	120333531319816	Public Figure	http://facebook.com/120333531319816
Indra Petersons	194209074004954	News Personality	http://facebook.com/194209074004954
Meteorologist Chris Franklin	420500314706553	News Personality	http://facebook.com/420500314706553
Rita Cosby	102147646498289	News Personality	http://facebook.com/102147646498289
Michaela Pereira	264295140264631	Journalist	http://facebook.com/264295140264631
Jeff Hogan	132388075143	News Personality	http://facebook.com/132388075143
Nydia Han	110957983507	News Personality	http://facebook.com/110957983507
Christi Paul	111363069470	Public Figure	http://facebook.com/111363069470
Zain Asher	550140278341283	Journalist	http://facebook.com/550140278341283
Tamala Edwards	112686714322	Journalist	http://facebook.com/112686714322
Matt O'Donnell	92168272835	News Personality	http://facebook.com/92168272835
Walter Perez	86789005938	News Personality	http://facebook.com/86789005938
Ben Bradley ABC7	594277073920107	Journalist	http://facebook.com/594277073920107
Lynda Carter	149324295078130	Public Figure	http://facebook.com/149324295078130
Judy Hsu ABC7	423288204391270	News Personality	http://facebook.com/423288204391270
C.S. Keys Fan Page	262402477154496	Public Figure	http://facebook.com/262402477154496
Amanda Venegas Abc30 Action News	375116919222325	News Personality	http://facebook.com/375116919222325
Linda Yu ABC7	188474681276189	Journalist	http://facebook.com/188474681276189
Hosea Sanders ABC7	474996215883529	Journalist	http://facebook.com/474996215883529
Joey The Garden Cat	70576067848	News Personality	http://facebook.com/70576067848
Kristie Lu Stout	121200242449	Journalist	http://facebook.com/121200242449
KPRC2 Dominique Sachse	114379945268535	Public Figure	http://facebook.com/114379945268535
KPRC2 Jennifer Reyna	118902898131913	Public Figure	http://facebook.com/118902898131913
Samuel Burke CNN	180918758604343	Public Figure	http://facebook.com/180918758604343
Max Foster	141148405925536	Journalist	http://facebook.com/141148405925536
Hala Gorani	141959119153718	Public Figure	http://facebook.com/141959119153718
Brooke Baldwin	142710795775336	Journalist	http://facebook.com/142710795775336
Suzanne Malveaux CNN	120182224719995	Journalist	http://facebook.com/120182224719995
Anthony Yanez	100221636690410	News Personality	http://facebook.com/100221636690410
Courtney Gilmore NBC5	124339694246676	Journalist	http://facebook.com/124339694246676
Carol Costello	172143546163601	Journalist	http://facebook.com/172143546163601
Fredricka Whitfield CNN	59742389361	Public Figure	http://facebook.com/59742389361
Josh Rubenstein	186995011426570	News Personality	http://facebook.com/186995011426570
Meteorologist Rhonda A. Lee	126610990753476	News Personality	http://facebook.com/126610990753476
Tommy Tran Abc30 Action News	199638683384856	Journalist	http://facebook.com/199638683384856
Kent Shocknek	111002598952303	Journalist	http://facebook.com/111002598952303
KPRC2 Lauren Freeman	118171441539265	Public Figure	http://facebook.com/118171441539265
Andre Hepkins WBAL	133013750111054	Journalist	http://facebook.com/133013750111054
Claire Kellett KMOV	168457636499199	Public Figure	http://facebook.com/168457636499199
Margot Kim abc30 Action News	106760496059512	News Personality	http://facebook.com/106760496059512
Jason Oliveira Abc30 Action News	165860546798360	News Personality	http://facebook.com/165860546798360
KPRC2 Owen Conflenti	280200465360111	Journalist	http://facebook.com/280200465360111
Ashley Blackstone ABC News 4	181319875258463	News Personality	http://facebook.com/181319875258463
Alyse Eady	206108216079355	News Personality	http://facebook.com/206108216079355
John Leguizamo's Ghetto Klown	148136908561859	Public Figure	http://facebook.com/148136908561859
Daniel Radcliffe	105553536144230	Public Figure	http://facebook.com/105553536144230
Harry Connick\	104062146298158	Public Figure	http://facebook.com/104062146298158
Laura Benanti	257428099225	Public Figure	http://facebook.com/257428099225
Kimberly Suiters ABC7	188420094530919	Journalist	http://facebook.com/188420094530919
Alex Liggitt	1594729454138404	News Personality	http://facebook.com/1594729454138404
Eileen Whelan	155935567818105	News Personality	http://facebook.com/155935567818105
Nina Blackwood	163074243760174	Public Figure	http://facebook.com/163074243760174
Cody Alcorn	279638533192	Journalist	http://facebook.com/279638533192
Doug Hill	107622499269206	Public Figure	http://facebook.com/107622499269206
Alison Starling	209086245783788	News Personality	http://facebook.com/209086245783788
Monica Morales	116366741719947	Public Figure	http://facebook.com/116366741719947
Magee Hickey	234472229907174	Journalist	http://facebook.com/234472229907174
Kaity Tong	125570244128993	Public Figure	http://facebook.com/125570244128993
Mary Murphy Mystery	1386551514902988	Journalist	http://facebook.com/1386551514902988
Kirstin Cole	722153461151164	Journalist	http://facebook.com/722153461151164
Kori Chambers	131497690306025	News Personality	http://facebook.com/131497690306025
Tamsen Fadal	41593648878	Public Figure	http://facebook.com/41593648878
James Ford	125263363302	News Personality	http://facebook.com/125263363302
Mr. G	537067766365337	News Personality	http://facebook.com/537067766365337
The Champagne Diet by Cara Alwill Leyba	73348359265	Public Figure	http://facebook.com/73348359265
Alisha Ebrahimji	827729283950822	News Personality	http://facebook.com/827729283950822
Chris Powell	187306911863	Public Figure	http://facebook.com/187306911863
Anne McNamara	234858603218534	Journalist	http://facebook.com/234858603218534
Susan Casper ABC15	111155575578436	News Personality	http://facebook.com/111155575578436
Brien McElhatten - ABC21	441526852552175	Public Figure	http://facebook.com/441526852552175
Lauren Gilger	228033887352016	Journalist	http://facebook.com/228033887352016
Stephanie Hockridge	277065524267	News Personality	http://facebook.com/277065524267
YettaGibson	272053499665010	Journalist	http://facebook.com/272053499665010
Josh Egbert KKTV	183570621715588	Journalist	http://facebook.com/183570621715588
Reggie Aqui	75509364009	Public Figure	http://facebook.com/75509364009
Carolyn Tyler	184076541633430	Journalist	http://facebook.com/184076541633430
KPRC2 Sofia Ojeda	1610278269190782	Journalist	http://facebook.com/1610278269190782
KPRC2 Owen Conflenti	280200465360111	Journalist	http://facebook.com/280200465360111
KPRC2 Khambrel Marshall	124957240848173	Public Figure	http://facebook.com/124957240848173
KPRC2 Justin Stapleton	227730787254091	News Personality	http://facebook.com/227730787254091
KPRC2 Rachel McNeill	120333531319816	Public Figure	http://facebook.com/120333531319816
KPRC2 Keith Garvin	451176961593334	News Personality	http://facebook.com/451176961593334
KPRC2 Frank Billingsley	100221813357874	Public Figure	http://facebook.com/100221813357874
KPRC2 Robert Arnold	105334479511783	Public Figure	http://facebook.com/105334479511783
ABC13-Deborah Wrigley	180835305266016	Journalist	http://facebook.com/180835305266016
ABC13-Jeff Ehling	134301846626811	Journalist	http://facebook.com/134301846626811
KPRC2 Anoushah Rasta	1501924336761321	Journalist	http://facebook.com/1501924336761321
Eric T. Tung	882448358501371	Public Figure	http://facebook.com/882448358501371
Carolyn Clifford	122290781204798	News Personality	http://facebook.com/122290781204798
Glenda Lewis	136318353112415	News Personality	http://facebook.com/136318353112415
KPRC2 Khambrel Marshall	124957240848173	Public Figure	http://facebook.com/124957240848173
